epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,318.929,1.05634,0.51286,0.88373,0.88601,0.87234,0.91436,0.58095,1.29032,0.72955,0.9834,0.000355368,0.000355368,0.000355368
80,322.912,1.00089,0.49491,0.87529,0.88601,0.87234,0.91436,0.58095,1.29032,0.72955,0.9834,0.000344282,0.000344282,0.000344282
81,326.759,1.2256,0.56253,0.90831,0.88205,0.87515,0.91724,0.59414,1.25153,0.71175,0.97654,0.0003328,0.0003328,0.0003328
82,330.398,1.0459,0.51262,0.91841,0.88205,0.87515,0.91724,0.59414,1.25153,0.71175,0.97654,0.000320922,0.000320922,0.000320922
83,333.924,1.07864,0.50961,0.88849,0.88205,0.87515,0.91724,0.59414,1.25153,0.71175,0.97654,0.000308648,0.000308648,0.000308648
84,337.505,0.98505,0.48745,0.87707,0.88482,0.87234,0.91244,0.61868,1.15269,0.67345,0.9611,0.000295978,0.000295978,0.000295978
85,341.022,0.93405,0.46749,0.88178,0.88482,0.87234,0.91244,0.61868,1.15269,0.67345,0.9611,0.000282912,0.000282912,0.000282912
86,345.632,1.1109,0.50936,0.88835,0.88482,0.87234,0.91244,0.61868,1.15269,0.67345,0.9611,0.00026945,0.00026945,0.00026945
87,349.517,1.01352,0.48851,0.89306,0.88482,0.87234,0.91244,0.61868,1.15269,0.67345,0.9611,0.000255592,0.000255592,0.000255592
88,353.13,0.97447,0.47069,0.87916,0.89161,0.8617,0.91557,0.63876,1.08479,0.63866,0.95073,0.000241338,0.000241338,0.000241338
89,356.929,0.99979,0.48528,0.88925,0.89161,0.8617,0.91557,0.63876,1.08479,0.63866,0.95073,0.000226688,0.000226688,0.000226688
90,360.438,1.07255,0.50598,0.86444,0.89161,0.8617,0.91557,0.63876,1.08479,0.63866,0.95073,0.000211642,0.000211642,0.000211642
91,363.766,0.95812,0.51423,0.87415,0.89161,0.8617,0.91557,0.63876,1.08479,0.63866,0.95073,0.0001962,0.0001962,0.0001962
92,367.197,1.01788,0.50714,0.88802,0.88183,0.87234,0.91082,0.63255,1.0991,0.62406,0.9591,0.000180362,0.000180362,0.000180362
93,370.828,1.03089,0.53155,0.86582,0.88183,0.87234,0.91082,0.63255,1.0991,0.62406,0.9591,0.000164128,0.000164128,0.000164128
94,374.305,1.03976,0.52707,0.92932,0.88183,0.87234,0.91082,0.63255,1.0991,0.62406,0.9591,0.000147498,0.000147498,0.000147498
95,377.886,1.04222,0.50415,0.88574,0.88183,0.87234,0.91082,0.63255,1.0991,0.62406,0.9591,0.000130472,0.000130472,0.000130472
96,381.264,1.043,0.5509,0.89911,0.85777,0.91489,0.91142,0.62024,1.14381,0.60986,0.98348,0.00011305,0.00011305,0.00011305
97,384.776,1.01647,0.49314,0.89166,0.85777,0.91489,0.91142,0.62024,1.14381,0.60986,0.98348,9.5232e-05,9.5232e-05,9.5232e-05
98,388.047,1.02854,0.49598,0.90747,0.85777,0.91489,0.91142,0.62024,1.14381,0.60986,0.98348,7.7018e-05,7.7018e-05,7.7018e-05
99,391.526,1.0559,0.50887,0.88841,0.85777,0.91489,0.91142,0.62024,1.14381,0.60986,0.98348,5.8408e-05,5.8408e-05,5.8408e-05
100,394.882,1.10388,0.57029,0.9391,0.85421,0.91489,0.90951,0.61658,1.1447,0.60481,0.9815,3.9402e-05,3.9402e-05,3.9402e-05
